datetime,date,open,high,low,close,volume,symbol
2019-09-19 09:01:00+09:00,2019-09-19,5170,5170,5170,5170,156,007810
2019-09-19 09:01:00+09:00,2019-09-19,327,327,327,327,80,900120
2019-09-19 09:01:00+09:00,2019-09-19,21000,21000,20850,20850,4805,300080
2019-09-19 09:01:00+09:00,2019-09-19,595,595,592,593,3325,001440
2019-09-19 09:01:00+09:00,2019-09-19,1305,1310,1305,1305,1380,141070
2019-09-19 09:01:00+09:00,2019-09-19,861,861,861,861,65,060900
2019-09-19 09:01:00+09:00,2019-09-19,1590,1590,1570,1575,13851,017550
2019-09-19 09:01:00+09:00,2019-09-19,5850,5850,5850,5850,1370,008470
2019-09-19 09:01:00+09:00,2019-09-19,5030,5030,5030,5030,272,153460
2019-09-19 09:01:00+09:00,2019-09-19,6290,6290,6290,6290,1132,016100
2019-09-19 09:01:00+09:00,2019-09-19,2615,2615,2595,2595,2181,092200
2019-09-19 09:01:00+09:00,2019-09-19,7510,7510,7480,7480,118,173940
2019-09-19 09:01:00+09:00,2019-09-19,7630,7630,7630,7630,104,040420
2019-09-19 09:02:00+09:00,2019-09-19,749,749,749,749,10,116100
2019-09-19 09:01:00+09:00,2019-09-19,2270,2270,2270,2270,689,196700
2019-09-19 09:01:00+09:00,2019-09-19,5920,5920,5920,5920,2216,011690
2019-09-19 09:01:00+09:00,2019-09-19,3040,3040,3040,3040,342,091090
2019-09-19 09:01:00+09:00,2019-09-19,7490,7510,7490,7510,1291,078140
2019-09-19 09:01:00+09:00,2019-09-19,5700,5700,5700,5700,5,163560
2019-09-19 09:05:00+09:00,2019-09-19,4990,4990,4805,4805,41,002820
2019-09-19 09:01:00+09:00,2019-09-19,6040,6040,6040,6040,100,023150
2019-09-19 09:01:00+09:00,2019-09-19,485,485,481,481,1603,003280
2019-09-19 09:01:00+09:00,2019-09-19,12950,13050,12950,13000,438,115390
2019-09-19 09:01:00+09:00,2019-09-19,11000,11150,11000,11150,3118,066430
2019-09-19 09:01:00+09:00,2019-09-19,2065,2065,2065,2065,1056,013520
2019-09-19 09:01:00+09:00,2019-09-19,32450,32450,32450,32450,253,093320
2019-09-19 09:01:00+09:00,2019-09-19,40700,40700,40700,40700,2,005430
2019-09-19 09:01:00+09:00,2019-09-19,13000,13050,13000,13050,12057,048530
2019-09-19 09:01:00+09:00,2019-09-19,170000,170000,170000,170000,47,001130
2019-09-19 09:01:00+09:00,2019-09-19,968,972,965,965,33414,053110
2019-09-19 09:01:00+09:00,2019-09-19,14500,14500,14450,14500,1429,241590
2019-09-19 10:08:00+09:00,2019-09-19,1550,1550,1550,1550,5,189350
2019-09-19 09:01:00+09:00,2019-09-19,1105,1110,1100,1100,8956,004060
2019-09-19 09:01:00+09:00,2019-09-19,6180,6180,6180,6180,44,060280
2019-09-19 09:01:00+09:00,2019-09-19,7170,7170,7170,7170,1,044450
2019-09-19 09:01:00+09:00,2019-09-19,8500,8690,8500,8600,38213,290120
2019-09-19 09:01:00+09:00,2019-09-19,7710,7710,7710,7710,42,131030
2019-09-19 09:01:00+09:00,2019-09-19,16700,16850,16700,16850,1414,123420
2019-09-19 09:01:00+09:00,2019-09-19,3550,3560,3550,3560,4337,127120
2019-09-19 09:01:00+09:00,2019-09-19,5170,5180,5170,5170,1269,238090
2019-09-19 09:01:00+09:00,2019-09-19,6890,6890,6890,6890,1110,147830
2019-09-19 09:01:00+09:00,2019-09-19,5450,5460,5440,5450,17779,215100
2019-09-19 09:03:00+09:00,2019-09-19,47000,47000,47000,47000,5,199800
2019-09-19 09:01:00+09:00,2019-09-19,10000,10000,9950,9950,420,063760
2019-09-19 09:01:00+09:00,2019-09-19,21850,21850,21850,21850,289,299660
2019-09-19 09:01:00+09:00,2019-09-19,94000,94100,94000,94100,157,078340
2019-09-19 09:01:00+09:00,2019-09-19,4905,4905,4905,4905,81,003080
2019-09-19 09:01:00+09:00,2019-09-19,22400,22400,22400,22400,2,290650
2019-09-19 09:01:00+09:00,2019-09-19,4370,4395,4360,4395,1725,023350
2019-09-19 09:01:00+09:00,2019-09-19,2910,2910,2910,2910,152,012600
2019-09-19 09:01:00+09:00,2019-09-19,100000,100000,98800,98800,2335,000210
2019-09-19 09:01:00+09:00,2019-09-19,29900,29900,29900,29900,100,084110
2019-09-19 09:01:00+09:00,2019-09-19,6490,6490,6490,6490,100,004710
2019-09-19 09:01:00+09:00,2019-09-19,62800,63100,62800,62900,148,108670
2019-09-19 09:01:00+09:00,2019-09-19,2415,2445,2415,2445,643,053660
2019-09-19 09:01:00+09:00,2019-09-19,4400,4405,4395,4400,13241,033180
2019-09-19 09:01:00+09:00,2019-09-19,3450,3450,3415,3415,220,130660
2019-09-19 09:01:00+09:00,2019-09-19,5610,5660,5610,5660,56,094840
2019-09-19 09:01:00+09:00,2019-09-19,10150,10400,10150,10300,465,241790
2019-09-19 09:01:00+09:00,2019-09-19,15600,15700,15600,15700,557,080160
